Galectin-3 modulates postnatal subventricular zone gliogenesis.,"Galectin-3,gliogenesis,gliogenesis,ischemia,cells,astrogliosis,cell,Hypoxic,immunoreactivity,inflammation,Gal,overexpression,gliogenesis,human,astrocytes,gliogenesis,oligodendrocytes,Gal,BMP,Gal,inflammation,mouse,Gal,inflammation,Gal-3,overexpression,Gal-3,overexpression,expression,Galectin-3,binds,Gal-3,inflammation,Gal-3,Gal,hypoxia,brain pathologies,brain,Gal,human,Gal-3,proliferation,Gal,neural stem cells,brain,brain development,Gal-3,Gal,Gal,forebrain,bone morphogenetic protein receptor,glia,inflammation,forebrain,Gal-3,Gal-3,gliogenesis,forebrain,oligodendrocytes,inflammation,Gal-3,ischemia,gliogenesis,signaling,Gal-3,gliogenesis,striatum,Gal,Gal,astrocyte,signaling,hypoxia,Gal-3,gliogenesis,astrocytes,BMP,protein,cell death,bone morphogenetic protein,bone morphogenetic protein,bone,Gal",31626379
"Neural stem cells and neuro/gliogenesis in the central nervous system: understanding the structural and functional plasticity of the developing, mature, and diseased brain.","Neural stem cells,central nervous system,brain,nervous,gliogenesis,cells,mental disorders,CNS,nervous,brain,impaired,integration,gliogenesis,brain regions,central nervous system,cells,gliogenesis,gliogenesis,NSCs,cell,gliogenesis,neural stem cells,stem cell,development,gliogenesis,brain,stem cell,gliogenesis,brain regions,NSCs,Neurons,cell,CNS,NSCs,NSCs,glia,cells,neurogenesis,joint,cells,brain,brain,NSCs",26578509
H2A.Z.1 crosstalk with H3K56-acetylation controls gliogenesis through the transcription of folate receptor.,"gliogenesis,folate receptor,acetylation,transcription,H2A,folate,crosstalk,astrocyte,JAK-STAT signaling pathway,STAT,STAT,H2A,signaling pathway,gliogenesis,JAK-STAT signaling pathway,brain development,gliogenesis,histone H2A,brain,FOLR1,H2A,ASF1a,FOLR1,expression,nervous,JAK,folate,astrocyte,signaling pathway,histone,central nervous system,gliogenesis,gliogenesis,folate receptor 1,H2A,Astrocytes,brain diseases,gliogenesis,JAK,astrocyte differentiation,neurological disorders,acetylation,brain,ASF1a,cells",29982651
Adult Neurogenesis and Gliogenesis: Possible Mechanisms for Neurorestoration.,"Gliogenesis,Neurogenesis,homeostasis,progenitor cells,neurogenesis,cell,brain,neurogenesis,gliogenesis,neurogenesis,balance,gliogenesis,repair,cells,gliogenesis,cellular,neurons,neurogenesis,brain,glial cells,Neurogenesis,brain,cell,gliogenesis,brain regions,brain,neurogenesis,cells,neurons,gliogenesis",27358578
MEPO promotes neurogenesis and angiogenesis but suppresses gliogenesis in mice with acute ischemic stroke.,"ischemic stroke,gliogenesis,mice,angiogenesis,neurogenesis,exerted,differentiation,neurons,rod,MCAO,brain tissue,erythropoietic mutant erythropoietin,gliogenesis,neurogenesis,wild-type EPO,cerebral,neurological function,gliogenesis,BrdU,EPO,infarction,mice,cerebral,MCAO,mice,blood vessels,microglia,neurogenesis,NeuN,neurological function,middle cerebral artery occlusion,angiogenesis,gliogenesis,angiogenesis,erythropoietin,vasculature,neurogenesis,cells,Neurological function,mice,cerebral,EPO,brain tissue,regeneration,astrocytes,proliferation,ischemia,ischemic stroke,mutant,neurons",30716313
Ldb1- and Rnf12-dependent regulation of Lhx2 controls the relative balance between neurogenesis and gliogenesis in the retina.,"retina,gliogenesis,Lhx2,regulation,Rnf12,balance,neurogenesis,Ldb1,retinal,retina,Ldb1,formation,glia,formation,bHLH factors,cells,glia,LDB1,transcription,cell cycle,gliogenesis,LIM,gliogenesis,development,neurons,development,visual function,glia,Ldb1,retinal,homeodomain,signaling,retinal,neurons,LHX2,Lhx2,cell,retinal,Lhx2,transcriptional,Overexpression,Notch,differentiation,expression,LDB1,neurogenesis,differentiation,retina,expression,retinal,overexpression,neurons,overexpression,Ldb1,Ldb1,gliogenesis",29650591
Lineage-guided Notch-dependent gliogenesis by <i>Drosophila</i> multi-potent progenitors.,"Notch,gliogenesis,glial,apoptosis,cells,glial,astrocyte,gliogenesis,central nervous system,gliogenesis,glial cells,gliogenesis,Blocking,Notch,Notch,nervous,development,glia,neurogenesis,neurons,cells,cells,glia,neuroblasts,neuroblasts,glial,glia,glia,proliferation,signaling,glial,glial",29764857
<i>In vivo</i> PET Imaging of Gliogenesis After Cerebral Ischemia in Rats.,"Rats,Cerebral,Gliogenesis,Cerebral Ischemia,gliogenesis,MCAO,brain,glial,gliogenesis,brain infarction,cell proliferation,cell,proliferation,positron,cerebral cortex,ischemia,CD11b,middle cerebral artery occlusion,brain,proliferation,proliferation,proliferation,Ki67,stroke,MCAO,astrocytes,ischemia,microglia,proliferation,cell activation,glial,cell,striatum,cell proliferation,glial cell,stroke,rats,emission",32848565
Adult neurogenesis and gliogenesis in the dorsal and ventral canine hippocampus.,"gliogenesis,hippocampus,neurogenesis,neurogenesis,granule,maturation,differentiation,NSCs,NSCs,neurogenesis,astrocytes,neurogenesis,migration,anatomy,granule,calbindin,NeuN,proliferation,NSCs,glia,cells,DG,neural stem cells,neurons,fetal development,gliogenesis,BrdU,BrdU,doublecortin,Dentate gyrus,humans,hippocampus,axis,neurons,cell,DG,cells,neurogenesis,S100B,differentiation,plan,gliogenesis,fetal,hippocampus,axis,glial,neurons,neurons,maturation,astrocytes,human,cells,maturation,calretinin,hippocampus,cells,glial fibrillary acidic protein,migration,cells,rat,neurogenesis,protein",31743444
Regulation of temporal properties of neural stem cells and transition timing of neurogenesis and gliogenesis during mammalian neocortical development.,"Regulation,cells,neural stem cells,transition,development,gliogenesis,neurogenesis,proliferative,layer,NSCs,chromatin structure,biological clock,transition,regulation,cell cycle,transition,neocortex,gliogenesis,developmental timing,neurons,development,NSCs,embryonic,development,regulation,neural stem cells,chromatin,cells,cell,differentiation,NSCs,neurogenesis,transition,development,gliogenesis,developmental timing,neurogenesis,neurogenesis,neurons,layer,NSCs",30634047
