Toward a Better Understanding of Neuronal Migration Deficits in Autism Spectrum Disorders.,"Neuronal Migration,Autism Spectrum Disorders,ASD,neuronal migration,dyslexia,schizophrenia,intracellular,extracellular,neuronal migration,neurons,ASD,brain,brains,autism spectrum disorders,developmental disorders,development,translational,ASD,neuronal migration,neuronal migration,epilepsy,ASD,localization,neuronal migration,neuronal migration,neurons,SCZ,motility,neurons,neuronal migration,neuronal migration disorders,signaling",31620440
Neuronal Migration on Silicon Microcone Arrays with Different Pitches.,"Neuronal Migration,Silicon,migration,behaviors,neuronal migration,Neuronal migration,migration,silicon,neuron,neurons,Neuronal migration,migration,neuronal migration,effort,neuronal migration,neurons,hippocampal,brain,neuron,neural circuits",32815647
Nesprin-2 Recruitment of BicD2 to the Nuclear Envelope Controls Dynein/Kinesin-Mediated Neuronal Migration In Vivo.,"Nuclear Envelope Controls Dynein,Recruitment,Nuclear Envelope,Dynein,Kinesin,BicD2,Neuronal Migration,BicD2,movement,BicD2,rat,NE,binding,kinesin,centrosome,BicD2,dynein,proteins,dynein,BicD2,kinesin,centrosome,cytoplasmic dynein,kinesin,kinesin,binds,brain,cells,proteins,migration,fibroblasts,human,inhibition,neuronal migration,fibroblasts,neuronal migration,cytoplasmic,nuclear migration,dynein,neuronal migration,neurons,migration,utero,neuronal migration,nuclear envelope,nuclear envelope,rat brain,recruitment,nuclear envelope kinesin,cell proliferation,kinesin-1,binding,cerebral cortex,BicD2,brain development,cell,neuronal migration,cell,dynein,proliferation,kinesin,protein,neurons",32619477
Blood vessels as a scaffold for neuronal migration.,"neuronal migration,Blood vessels,secrete,neurons,crosstalk,brain,development,ischemic stroke,NSCs,ventricular,neuronal migration,vasculature,vasculature,neuronal migration,migration,blood vessels,neuronal migration,lateral ventricles,cells,blood vessels,brain,angiogenesis,neurons,neurons,brain,Neurogenesis,migration,regeneration,astrocytes,brain,neural stem cells,vascular,formation,vascular endothelial cells,blood vessels,regeneration,cells,neuronal migration,blood vessels,vascular,vasculature,vascular,migration,neuronal migration",30851365
Drebrin-like (Dbnl) Controls Neuronal Migration via Regulating N-Cadherin Expression in the Developing Cerebral Cortex.,"Neuronal Migration,Drebrin-like,Expression,Dbnl,N-Cadherin,Cerebral Cortex,neurons,protein,neurons,mice,band,cortex,cerebral,N-cadherin,actin cytoskeleton,development,subcortical band heterotopia,Dbnl,neuronal migration,tyrosine,cortical,protein,cerebral cortex,brain,overexpression,cortical,cerebral cortex,endocytosis,N-cadherin,membrane,cortical,expressed,protein,neuronal migration,Dbnl,lissencephaly,neuronal migration,subcortical,mouse,mouse cerebral cortex,cell,cerebral cortex,brain development,formation,binding,actin cytoskeleton,expression,Dbnl-αN-catenin/N-cadherin,cortex,Dbnl,actin cytoskeleton,N-cadherin protein,Dbnl,Drebrin-like,Dbnl,formation,brain,dynamin,cell polarity,Dbnl,neuronal migration,regulation of neuronal migration,embryonic,neuronal migration,protein,expressed,neuronal migration,Dbnl,N-cadherin,cobl,actin-binding protein,dendrite,regulation,pathway,plasma membrane,F-actin,cell,phosphorylation,actin cytoskeleton,neuronal migration,neurons,utero,plasma,transfection,neurons,Dbnl",30504273
AMP-activated protein kinase regulates cytoplasmic dynein behavior and contributes to neuronal migration in the developing neocortex.,"cytoplasmic dynein,neuronal migration,dynein,neocortex,protein,AMP-activated protein kinase,cytoplasmic,cytoplasmic dynein,mutant,AMPK,microtubule,Expression,centrosome,expression,neocortex,dynein intermediate chain,DIC,neurons,DIC,AMPK,impaired,DIC,mutant,phosphorylation,proteins,dynein,phosphorylation,AMPK,dynein,neuronal migration,cytoplasmic,dynein,AMPK,neurons,AMPK,AMPK-regulated dynein,neuronal migration,DIC,protein,neuronal migration,cytoplasmic,migration,AMPK,Ser81 DIC,DIC,dynein,AMPK,AMP-activated protein kinase,microtubule motor cytoplasmic dynein,dynein,neuronal migration,inhibition,dynein,AMPK,nucleus,neuronal migration",32554528
Multiple sevoflurane exposures during pregnancy inhibit neuronal migration by upregulating prostaglandin D2 synthase.,"sevoflurane,neuronal migration,prostaglandin D2 synthase,prostaglandin D2,neurogenesis,anesthetics,neuronal migration,neuronal migration",31499143
Prenatal Environment That Affects Neuronal Migration.,"Neuronal Migration,impaired,migration,Migration,development,epilepsy,NMDs,neuronal migration disorders,neurons,neuronal migration,neuronal migration,migration,inflammation,developmental process,neuronal migration,cortical,brain,NMDs",31380373
Calcium signalling: a key regulator of neuronal migration.,"neuronal migration,Calcium,Calcium signalling,brain,signalling,signalling molecules,signalling,migration,neuronal migration,development,extracellular,neurons,signalling,Intracellular,cellular,neurons,intracellular,signalling molecules,brain,cellular,neurons,second messenger,neuronal migration,signalling molecules,Neuronal migration,neurons,Neuronal migration,cell",30753600
Neuronal Migration During Development of the Cerebellum.,"Neuronal Migration,Cerebellum,Development,neuronal migration,neurological disorder,cognition,neurons,central nervous system,development,pathways,cerebellum,cerebellar,CNS,nuclei,neuronal migration,nuclei,cerebellar cortex,cerebellar cortex,development,cerebellum,neuronal migration,neuronal migration,Neuronal migration,cellular,neuronal migration,CNS,nervous,motor coordination",30618631
