Galectin-3 modulates postnatal subventricular zone gliogenesis.,"Animals,Astrocytes,Cell Differentiation,Cell Movement,Cerebral Ventricles,Galectin 3,Gene Expression Regulation,Ischemia,Lateral Ventricles,Mice, Inbred C57BL,Mice, Transgenic,Neural Stem Cells,Neurogenesis,Neuroglia,Oligodendroglia","Postnatal subventricular zone (SVZ) neural stem cells generate forebrain glia, namely astrocytes and oligodendrocytes. The cues necessary for this process are unclear, despite this phase of brain development being pivotal in forebrain gliogenesis. Galectin-3 (Gal-3) is increased in multiple brain pathologies and thereby regulates astrocyte proliferation and inflammation in injury. To study the function of Gal-3 in inflammation and gliogenesis, we carried out functional studies in mouse. We overexpressed Gal-3 with electroporation and using immunohistochemistry surprisingly found no inflammation in the healthy postnatal SVZ. This allowed investigation of inflammation-independent effects of Gal-3 on gliogenesis. Loss of Gal-3 function via knockdown or conditional knockout reduced gliogenesis, whereas Gal-3 overexpression increased it. Gal-3 overexpression also increased the percentage of striatal astrocytes generated by the SVZ but decreased the percentage of oligodendrocytes. These novel findings were further elaborated with multiple analyses demonstrating that Gal-3 binds to the bone morphogenetic protein receptor one alpha (BMPR1α) and increases bone morphogenetic protein (BMP) signaling. Conditional knockout of BMPR1α abolished the effect of Gal-3 overexpression on gliogenesis. Gain-of-function of Gal-3 is relevant in pathological conditions involving the human forebrain, which is particularly vulnerable to hypoxia/ischemia during perinatal gliogenesis. Hypoxic/ischemic injury induces astrogliosis, inflammation and cell death. We show that Gal-3 immunoreactivity was increased in the perinatal human SVZ and striatum after hypoxia/ischemia. Our findings thus show a novel inflammation-independent function for Gal-3; it is necessary for gliogenesis and when increased in expression can induce astrogenesis via BMP signaling.",2019-10-18,Journal Article,31626379
"Neural stem cells and neuro/gliogenesis in the central nervous system: understanding the structural and functional plasticity of the developing, mature, and diseased brain.","Animals,Brain,Central Nervous System,Humans,Neural Stem Cells,Neurogenesis,Neuroglia,Neuronal Plasticity","Neurons and glia in the central nervous system (CNS) originate from neural stem cells (NSCs). Knowledge of the mechanisms of neuro/gliogenesis from NSCs is fundamental to our understanding of how complex brain architecture and function develop. NSCs are present not only in the developing brain but also in the mature brain in adults. Adult neurogenesis likely provides remarkable plasticity to the mature brain. In addition, recent progress in basic research in mental disorders suggests an etiological link with impaired neuro/gliogenesis in particular brain regions. Here, we review the recent progress and discuss future directions in stem cell and neuro/gliogenesis biology by introducing several topics presented at a joint meeting of the Japanese Association of Anatomists and the Physiological Society of Japan in 2015. Collectively, these topics indicated that neuro/gliogenesis from NSCs is a common event occurring in many brain regions at various ages in animals. Given that significant structural and functional changes in cells and neural networks are accompanied by neuro/gliogenesis from NSCs and the integration of newly generated cells into the network, stem cell and neuro/gliogenesis biology provides a good platform from which to develop an integrated understanding of the structural and functional plasticity that underlies the development of the CNS, its remodeling in adulthood, and the recovery from diseases that affect it. ",2015-11-17,Journal Article,26578509
H2A.Z.1 crosstalk with H3K56-acetylation controls gliogenesis through the transcription of folate receptor.,"Acetylation,Animals,Astrocytes,Cell Cycle Proteins,Cells, Cultured,Chromosomal Proteins, Non-Histone,Embryo, Mammalian,Female,Folate Receptor 1,Gene Expression Regulation, Developmental,HEK293 Cells,Histone Acetyltransferases,Histones,Humans,Male,Mice,Mice, Inbred C57BL,Mice, Inbred ICR,Mice, Transgenic,Molecular Chaperones,Neural Stem Cells,Neurogenesis,Neuroglia,Pregnancy,Signal Transduction,Transcription, Genetic","Astrocytes play crucial roles in the central nervous system, and defects in astrocyte function are closely related to many neurological disorders. Studying the mechanism of gliogenesis has important implications for understanding and treating brain diseases. Epigenetic regulations have essential roles during mammalian brain development. Here, we demonstrate that histone H2A.Z.1 is necessary for the specification of multiple neural precursor cells (NPCs) and has specialized functions that regulate gliogenesis. Depletion of H2A.Z.1 suppresses gliogenesis and results in reduced astrocyte differentiation. Additionally, H2A.Z.1 regulates the acetylation of H3K56 (H3K56ac) by cooperating with the chaperone of ASF1a. Furthermore, RNA-seq data indicate that folate receptor 1 (FOLR1) participates in gliogenesis through the JAK-STAT signaling pathway. Taken together, our results demonstrate that H2A.Z.1 is a key regulator of gliogenesis because it interacts with ASF1a to regulate H3K56ac and then directly affects the expression of FOLR1, which acts as a signal-transducing component of the JAK-STAT signaling pathway.",NA,Journal Article,29982651
Adult Neurogenesis and Gliogenesis: Possible Mechanisms for Neurorestoration.,nothingggggggg,"The subgranular zone (SGZ) and subventricular zone (SVZ) are developmental remnants of the germinal regions of the brain, hence they retain the ability to generate neuronal progenitor cells in adult life. Neurogenesis in adult brain has an adaptive function because newly produced neurons can integrate into and modify existing neuronal circuits. In contrast to the SGZ and SVZ, other brain regions have a lower capacity to produce new neurons, and this usually occurs via parenchymal and periventricular cell genesis. Compared to neurogenesis, gliogenesis occurs more prevalently in the adult mammalian brain. Under certain circumstances, interaction occurs between neurogenesis and gliogenesis, facilitating glial cells to transform into neuronal lineage. Therefore, modulating the balance between neurogenesis and gliogenesis may present a new perspective for neurorestoration, especially in diseases associated with altered neurogenesis and/or gliogenesis, cell loss, or disturbed homeostasis of cellular constitution. The present review discusses important neuroanatomical features of adult neurogenesis and gliogenesis, aiming to explore how these processes could be modulated toward functional repair of the adult brain. ",2016-06-16,Journal Article,27358578
MEPO promotes neurogenesis and angiogenesis but suppresses gliogenesis in mice with acute ischemic stroke.,"Animals,Brain Ischemia,Cell Proliferation,Erythropoietin,Male,Mice,Mice, Inbred C57BL,Mutation,Neovascularization, Physiologic,Neurogenesis,Neuroglia,Neuroprotection,Stroke","Previously study has proved the non-erythropoietic mutant erythropoietin (MEPO) exerted neuroprotective effects against ischemic cerebral injury, with an efficacy similar to that of wild-type EPO. This study investigates its effects on neurogenesis, angiogenesis, and gliogenesis in cerebral ischemic mice. Male C57BL/6 mice were subjected to middle cerebral artery occlusion (MCAO) and reperfusion. EPO (5000 U/kg), MEPO (5000 U/kg) or equal volume of normal saline was injected intraperitoneally. Neurological function was evaluated by Rota-rod test, Neurological severity scores (NSS) and Adhesive removal test. After ischemia and reperfusion (I/R), the survival rate, brain tissue loss, neurogenesis, angiogenesis and gliogenesis were detected by Nissl staining, Immunofluorescence and Western blot, respectively. The results shown that MEPO significantly increased survival rate, reduced brain tissue loss, and improved neurological function after MCAO (P < 0.05). Furthermore, MEPO obviously enhanced the proliferation of neuronal precursors (DCX) and promoted its differentiation into mature neurons (NeuN) (P < 0.05). In addition, compared to normal saline treatment mice, MEPO increased the number of BrdU-positive cells in the cerebral vasculature (P < 0.05). Whereas, MEPO treatment also reduced the numbers of newly generated astrocytes (GFAP) and microglia (Iba1) (P < 0.05). Among all the tests in this study, there was no significant difference between EPO group and MEPO group. Taken together, MEPO promoted the regeneration of neurons and blood vessels in peripheral area of infarction, and suppressed the gliogenesis, thus promoting neurogenesis, improving neurological function and survival rate. Our findings suggest that the MEPO may be a therapeutic drug for ischemic stroke intervention.",2019-02-02,Journal Article,30716313
Ldb1- and Rnf12-dependent regulation of Lhx2 controls the relative balance between neurogenesis and gliogenesis in the retina.,"Animals,Basic Helix-Loop-Helix Transcription Factors,DNA-Binding Proteins,Ependymoglial Cells,LIM Domain Proteins,LIM-Homeodomain Proteins,Mice,Mice, Transgenic,Nerve Tissue Proteins,Neurogenesis,Retinal Neurons,Transcription Factors,Ubiquitin-Protein Ligases","Precise control of the relative ratio of retinal neurons and glia generated during development is essential for visual function. We show that <i>Lhx2</i>, which encodes a LIM-homeodomain transcription factor essential for specification and differentiation of retinal Müller glia, also plays a crucial role in the development of retinal neurons. Overexpression of <i>Lhx2</i> with its transcriptional co-activator <i>Ldb1</i> triggers cell cycle exit and inhibits both Notch signaling and retinal gliogenesis. <i>Lhx2</i>/<i>Ldb1</i> overexpression also induces the formation of wide-field amacrine cells (wfACs). In contrast, <i>Rnf12</i>, which encodes a negative regulator of LDB1, is necessary for the initiation of retinal gliogenesis. We also show that Lhx2-dependent neurogenesis and wfAC formation requires <i>Ascl1</i> and <i>Neurog2</i>, and that Lhx2 is necessary for their expression, although overexpression of <i>Lhx2</i>/<i>Ldb1</i> does not elevate expression of these proneural bHLH factors. Finally, we demonstrate that the relative level of the LHX2-LDB1 complex in the retina decreases in tandem with the onset of gliogenesis. These findings show that control of <i>Lhx2</i> function by <i>Ldb1</i> and <i>Rnf12</i> underpins the coordinated differentiation of neurons and Müller glia in postnatal retina.",2018-04-30,Journal Article,29650591
Lineage-guided Notch-dependent gliogenesis by <i>Drosophila</i> multi-potent progenitors.,"Animals,Apoptosis,Astrocytes,Brain,Cell Lineage,Cell Proliferation,Drosophila,Drosophila Proteins,Neural Stem Cells,Neurogenesis,Neurons,Receptors, Notch","Macroglial cells in the central nervous system exhibit regional specialization and carry out region-specific functions. Diverse glial cells arise from specific progenitors in specific spatiotemporal patterns. This raises an interesting possibility that glial precursors with distinct developmental fates exist that govern region-specific gliogenesis. Here, we have mapped the glial progeny produced by the <i>Drosophila</i> type II neuroblasts, which, like vertebrate radial glia cells, yield both neurons and glia via intermediate neural progenitors (INPs). Distinct type II neuroblasts produce different characteristic sets of glia. A single INP can make both astrocyte-like and ensheathing glia, which co-occupy a relatively restrictive subdomain. Blocking apoptosis uncovers further lineage distinctions in the specification, proliferation and survival of glial precursors. Both the switch from neurogenesis to gliogenesis and the subsequent glial expansion depend on Notch signaling. Taken together, lineage origins preconfigure the development of individual glial precursors with involvement of serial Notch actions in promoting gliogenesis.",2018-06-11,Journal Article,29764857
<i>In vivo</i> PET Imaging of Gliogenesis After Cerebral Ischemia in Rats.,nothingggggggg,"<i>In vivo</i> positron emission tomography of neuroinflammation has mainly focused on the evaluation of glial cell activation using radiolabeled ligands. However, the non-invasive imaging of neuroinflammatory cell proliferation has been scarcely evaluated so far. <i>In vivo</i> and <i>ex vivo</i> assessment of gliogenesis after transient middle cerebral artery occlusion (MCAO) in rats was carried out using PET imaging with the marker of cell proliferation 3'-Deoxy-3'-[18F] fluorothymidine ([<sup>18</sup>F]FLT), magnetic resonance imaging (MRI) and fluorescence immunohistochemistry. MRI-T<sub>2</sub>W studies showed the presence of the brain infarction at 24 h after MCAO affecting cerebral cortex and striatum. <i>In vivo</i> PET imaging showed a significant increase in [<sup>18</sup>F]FLT uptake in the ischemic territory at day 7 followed by a progressive decline from day 14 to day 28 after ischemia onset. In addition, immunohistochemistry studies using Ki67, CD11b, and GFAP to evaluate proliferation of microglia and astrocytes confirmed the PET findings showing the increase of glial proliferation at day 7 after ischemia followed by decrease later on. Hence, these results show that [<sup>18</sup>F]FLT provides accurate quantitative information on the time course of glial proliferation in experimental stroke. Finally, this novel brain imaging method might guide on the imaging evaluation of the role of gliogenesis after stroke.",2020-07-30,Journal Article,32848565
Adult neurogenesis and gliogenesis in the dorsal and ventral canine hippocampus.,nothingggggggg,"Dentate gyrus (DG) of the mammalian hippocampus gives rise to new neurons and astrocytes all through adulthood. Canine hippocampus presents many similarities in fetal development, anatomy, and physiology with human hippocampus, establishing canines as excellent animal models for the study of adult neurogenesis. In the present study, BrdU-dated cells of the structurally and functionally dissociated dorsal (dDG) and ventral (vDG) adult canine DG were comparatively examined over a period of 30 days. Each part's neurogenic potential, radial glia-like neural stem cells (NSCs) proliferation and differentiation, migration, and maturation of their progenies were evaluated at 2, 5, 14, and 30 days post BrdU administration, with the use of selected markers (glial fibrillary acidic protein, doublecortin, calretinin and calbindin). Co-staining of BrdU+ cells with NeuN or S100B permitted the parallel study of the ongoing neurogenesis and gliogenesis. Our findings reveal the comparatively higher populations of residing granule cells, proliferating NSCs and BrdU+ neurons in the dDG, whereas newborn neurons of the vDG showed a prolonged differentiation, migration, and maturation. Newborn astrocytes were found all along the dorso-ventral axis, counting however for only 11% of newborn cell population. Comparative evaluation of adult canine and rat neurogenesis revealed significant differences in the distribution of resident and newborn granule cells along the dorso-ventral axis, division pattern of adult NSCs, maturation time plan of newborn neurons, and ongoing gliogenesis. Concluding, spatial and temporal features of adult canine neurogenesis are similar to that of other gyrencephalic species, including humans, and justify the comparative examination of adult neurogenesis across mammalian species.",2019-12-02,Journal Article,31743444
Regulation of temporal properties of neural stem cells and transition timing of neurogenesis and gliogenesis during mammalian neocortical development.,"Animals,Humans,Mammals,Neocortex,Neural Stem Cells,Neurogenesis,Neuroglia,Time Factors","In the developing mammalian neocortex, neural stem cells (NSCs) gradually alter their characteristics as development proceeds. NSCs initially expand the progenitor pool by symmetric proliferative division and then shift to asymmetric neurogenic division to commence neurogenesis. NSCs sequentially give rise to deep layer neurons first and superficial layer neurons later through mid- to late-embryonic stages, followed by shifting to a gliogenic phase at perinatal stages. The precise mechanisms regulating developmental timing of the transition from symmetric to asymmetric division have not been fully elucidated; however, gradual elongation in cell cycle length and concomitant accumulation of determinants that promote neuronal differentiation may function as a biological clock that regulates the onset of asymmetric neurogenic division. On the other hand, epigenetic regulatory systems have been implicated in the regulation of transition timing of neurogenesis and gliogenesis; the polycomb group (PcG) complex and Hmga genes have been found to govern the developmental timing by modulating chromatin structure during neocortical development. Furthermore, we uncovered several factors and mechanisms underlying the regulation of timing of neocortical neurogenesis and gliogenesis. In this review, we discuss recent findings regarding the mechanisms that govern the temporal properties of NSCs and the precise transition timing during neocortical development.",2019-01-17,Journal Article,30634047
