Depth-dependent abnormal cortical myelination in first-episode treatment-naïve schizophrenia.,nothingggggggg,"Myelination is key to effective message passing in the central nervous system and is likely linked to the pathogenesis of schizophrenia (SZ). Emerging evidence indicates that a large portion of intracortical myelin insulates inhibitory interneurons that are highly relevant to pathogenesis of schizophrenia. Here for the first time, we characterized intracortical myelination across the entire cortical surface in first-episode treatment-naïve patients with schizophrenia (FES) using T1w/T2w ratio of structural MRI, FES patients exhibited significantly higher myelin content in the left inferior parietal lobe, supramarginal gyrus, and superior temporal gyrus in the superficial layer, as well as left IPL in the middle layer, but significantly lower myelin content in the left middle insula and posterior cingulate gyrus. Years of education, a proxy for onset of functional decline, significantly altered the relationship between abnormal parietal and posterior cingulate myelination and clinical symptoms, indicating that the pathoplastic role of myelination hinges on the age of onset of functional decline. In addition, higher myelination generally related to better cognitive function in younger subjects but worse cognitive function in older subjects. We conclude that FES is characterized by increased myelination of the superficial layers of the parietal-temporal association cortex, but reduced myelination of the cingulo-insular midcortical layer cortex. Intracortical myelin content affects both cognitive functioning and symptom burden in FES, with the effect conditional upon age and timing of onset of functional decline. These results suggest myelination might be a critical biological target for procognitive interventions in SZ.",2020-04-02,Journal Article,32239735
Mechanistic Target of Rapamycin Regulates the Oligodendrocyte Cytoskeleton during Myelination.,"Actin-Related Protein 2-3 Complex,Actins,Animals,Axons,Cell Differentiation,Cytoskeleton,Kinesin,Mice,Mice, Knockout,Myelin Basic Protein,Myelin Proteolipid Protein,Myelin Sheath,Oligodendroglia,Rats,Rats, Sprague-Dawley,Stem Cells,TOR Serine-Threonine Kinases,Zebrafish","During differentiation, oligodendrocyte precursor cells (OPCs) extend a network of processes that make contact with axons and initiate myelination. Recent studies revealed that actin polymerization is required for initiation of myelination whereas actin depolymerization promotes myelin wrapping. Here, we used primary OPCs in culture isolated from neonatal rat cortices of both sexes and young male and female mice with oligodendrocyte-specific deletion of mechanistic target of rapamycin (mTOR) to demonstrate that mTOR regulates expression of specific cytoskeletal targets and actin reorganization in oligodendrocytes during developmental myelination. Loss or inhibition of mTOR reduced expression of profilin2 and ARPC3, actin polymerizing factors, and elevated levels of active cofilin, which mediates actin depolymerization. The deficits in actin polymerization were revealed in reduced phalloidin and deficits in oligodendrocyte cellular branching complexity at the peak of morphologic differentiation and a delay in initiation of myelination. We further show a critical role for mTOR in expression and localization of myelin basic protein (<i>Mbp</i>) mRNA and MBP protein to the cellular processes where it is necessary at the myelin membrane for axon wrapping. <i>Mbp</i> mRNA transport deficits were confirmed by single molecule RNA FISH. Moreover, expression of the kinesin family member 1B, an <i>Mbp</i> mRNA transport protein, was reduced in CC1+ cells in the <i>mTOR cKO</i> and in mTOR inhibited oligodendrocytes undergoing differentiation <i>in vitro</i> These data support the conclusion that mTOR regulates both initiation of myelination and axon wrapping by targeting cytoskeletal reorganization and MBP localization to oligodendrocyte processes.<b>SIGNIFICANCE STATEMENT</b> Myelination is essential for normal CNS development and adult axon preservation and function. The mechanistic target of rapamycin (mTOR) signaling pathway has been implicated in promoting CNS myelination; however, there is a gap in our understanding of the mechanisms by which mTOR promotes developmental myelination through regulating specific downstream targets. Here, we present evidence that mTOR promotes the initiation of myelination through regulating specific cytoskeletal targets and cellular process expansion by oligodendrocyte precursor cells as well as expression and cellular localization of myelin basic protein.",2020-03-05,Journal Article,32139584
Local axonal morphology guides the topography of interneuron myelination in mouse and human neocortex.,"Action Potentials,Aged, 80 and over,Animals,Axons,Female,GABAergic Neurons,Humans,Interneurons,Male,Mice, Inbred C57BL,Mice, Transgenic,Middle Aged,Myelin Sheath,Neocortex,Parvalbumins,Patch-Clamp Techniques","GABAergic fast-spiking parvalbumin-positive (PV) interneurons are frequently myelinated in the cerebral cortex. However, the factors governing the topography of cortical interneuron myelination remain incompletely understood. Here, we report that segmental myelination along neocortical interneuron axons is strongly predicted by the joint combination of interbranch distance and local axon caliber. Enlargement of PV+ interneurons increased axonal myelination, while reduced cell size led to decreased myelination. Next, we considered regular-spiking SOM+ cells, which normally have relatively shorter interbranch distances and thinner axon diameters than PV+ cells, and are rarely myelinated. Consistent with the importance of axonal morphology for guiding interneuron myelination, enlargement of SOM+ cell size dramatically increased the frequency of myelinated axonal segments. Lastly, we confirm that these findings also extend to human neocortex by quantifying interneuron axonal myelination from ex vivo surgical tissue. Together, these findings establish a predictive model of neocortical GABAergic interneuron myelination determined by local axonal morphology.",2019-11-19,Journal Article,31742557
Voluntary wheel running promotes myelination in the motor cortex through Wnt signaling in mice.,"Animals,Cell Differentiation,Cell Proliferation,HEK293 Cells,Humans,Male,Mice, Inbred C57BL,Motor Activity,Motor Cortex,Myelin Sheath,Physical Conditioning, Animal,Wnt Signaling Pathway","Myelin of the central nervous system exhibits strong plasticity, and skill learning exercise promotes oligodendrogenesis and adaptive myelination. Increasing evidence shows that brain structures and functions are affected by physical activity. However, the impact of voluntary physical activity on central myelination and its underlying mechanism remains unclear. The present study aimed to investigate the effect of voluntary wheel running (VWR) on central oligodendrogenesis and adaptive myelination in mice. Adult C57BL/6 J mice were placed in running wheels and allowed for voluntary running 2 weeks. Myelin levels in the central nervous system were detected using western blotting, qRT-PCR, immunohistochemical staining, and electron microscopy. Oligodendrocyte precursor cells (OPCs) and oligodendrocytes (OLs) were detected using immunohistochemical staining and 5-bromo-2-deoxyuridine (BrdU) assays. Motor abilities of the animals were examined using open-field, rotarod running, and beam-walking behavioral paradigms. Vital molecules of Wnt signaling were detected, and the involvement of such molecules was verified using in vitro culture of OPCs. Our results showed that VWR significantly enhanced the myelination in the motor cortex. VWR promoted the proliferation and differentiation of OPCs, and the maturation of OLs. The VWR-regulated myelination was associated with the improved motor skill and decreased mRNA level of Wnt3a/9a, whereas stimulation of Wnt signaling pathway with Wnt3a or Wnt9a suppressed OPCs proliferation and differentiation in vitro. The present study demonstrated that physical activity is highly efficient at promoting myelination in the motor cortex, by enhancing the proliferation of OPCs and accelerating the generation of myelin, providing a step forward in understanding the beneficial effects of physical activity on central myelination and its underlying mechanism.",2019-10-24,Journal Article,31651333
Differential effect on myelination through abolition of activity-dependent synaptic vesicle release or reduction of overall electrical activity of selected cortical projections in the mouse.,"Animals,Cerebral Cortex,Female,Mice, Inbred C57BL,Mice, Transgenic,Myelin Sheath,Pregnancy","Myelination of axons by oligodendrocytes in the central nervous system is crucial for fast, saltatory conduction of action potentials. As myelination is central for brain development and plasticity, and deficits are implicated in several neural disorders such as multiple sclerosis, major depressive disorder, bipolar disorder and schizophrenia, it is important to elucidate the underlying mechanisms regulating myelination. Numerous mechanisms have been proposed by which the communication between oligodendrocytes and active axons may regulate the onset and maintenance of activity-dependent myelination. We compared two models of 'silencing' layer V and/or VI cortical projection neurons from early stages by either decreasing their excitability through Kir2.1 expression, an inward rectifying potassium channel, introduced through in utero electroporation at embryonic day (E)13.5, or inhibiting regulated vesicular release through Cre-dependent knock-out of synaptosomal associated protein 25 kDA (SNAP25). SNAP25 is a component of the soluble N-ethylmaleimide fusion protein attachment protein receptor (SNARE) complex, which, among others, is needed for calcium-dependent regulated vesicle release from synapses. In layer VI cortical projection neurons in the Ntsr1-Cre;Ai14;Snap25 <sup>fl/fl</sup> mouse, we found that inhibiting regulated vesicular release significantly decreased the amount of myelin basic protein (MBP, used as marker for myelination) and the amount of myelinated projections at postnatal day (P)14 without affecting the initial timing of onset of myelination in the brain (at P7/P8). Additionally, overall oligodendrocyte maturation appears to be affected. A strong trend towards reduced node of Ranvier (NoR) length was also observed in Ntsr1-Cre;Ai14;Snap25 <sup>fl/fl</sup> corpus callosum. An equally strong trend towards reduced NoR length was observed in Rbp4-Cre;Ai14;Snap25 <sup>fl/fl</sup> corpus callosum at P14, and the g-ratio in the spinal cord dorsal column was reduced at P18. However, no measurable differences in levels of MBP were detected in the striatum when comparing Rbp4-Cre;Ai14;Snap25 <sup>fl/fl</sup> and control brains. Conversely, Kir2.1 in utero electroporation at E13.5 did not significantly affect the amount of MBP or number of myelinated callosal axons at P14 but did significantly decrease the NoR length measured in the corpus callosum. It therefore seems likely that the excitability of the neuron can potentially perform a modulating function of myelin characteristics, whereas regulated vesicular release has the potential to have a more pronounced effect on overall myelination, but in a cell-type specific manner.",2019-03-22,Journal Article,30901089
Motoneuron expression profiling identifies an association between an axonal splice variant of HDGF-related protein 3 and peripheral myelination.,nothingggggggg,"Disorders that disrupt myelin formation during development or in adulthood, such as multiple sclerosis and peripheral neuropathies, lead to severe pathologies, illustrating myelin's crucial role in normal neural functioning. However, although our understanding of glial biology is increasing, the signals that emanate from axons and regulate myelination remain largely unknown. To identify the core components of the myelination process, here we adopted a microarray analysis approach combined with laser-capture microdissection of spinal motoneurons during the myelinogenic phase of development. We identified neuronal genes whose expression was enriched during myelination and further investigated hepatoma-derived growth factor-related protein 3 (HRP3 or HDGFRP3). HRP3 was strongly expressed in the white matter fiber tracts of the peripheral (PNS) and central (CNS) nervous systems during myelination and remyelination in a cuprizone-induced demyelination model. The dynamic localization of HPR3 between axons and nuclei during myelination was consistent with its axonal localization during neuritogenesis. To study this phenomenon, we identified two splice variants encoded by the <i>HRP3</i> gene: the canonical isoform HRP3-I and a newly recognized isoform, HRP3-II. HRP3-I remained solely in the nucleus, whereas HRP3-II displayed distinct axonal localization both before and during myelination. Interestingly, HRP3-II remained in the nuclei of unmyelinated neurons and glial cells, suggesting the existence of a molecular machinery that transfers it to and retains it in the axons of neurons fated for myelination. Overexpression of HRP3-II, but not of HRP3-I, increased Schwann cell numbers and myelination in PNS neuron-glia co-cultures. However, HRP3-II overexpression in CNS co-cultures did not alter myelination.",2020-07-09,Journal Article,32647008
Biomimicking Fiber Platform with Tunable Stiffness to Study Mechanotransduction Reveals Stiffness Enhances Oligodendrocyte Differentiation but Impedes Myelination through YAP-Dependent Regulation.,nothingggggggg,"A key hallmark of many diseases, especially those in the central nervous system (CNS), is the change in tissue stiffness due to inflammation and scarring. However, how such changes in microenvironment affect the regenerative process remains poorly understood. Here, a biomimicking fiber platform that provides independent variation of fiber structural and intrinsic stiffness is reported. To demonstrate the functionality of these constructs as a mechanotransduction study platform, these substrates are utilized as artificial axons and the effects of axon structural versus intrinsic stiffness on CNS myelination are independently analyzed. While studies have shown that substrate stiffness affects oligodendrocyte differentiation, the effects of mechanical stiffness on the final functional state of oligodendrocyte (i.e., myelination) has not been shown prior to this. Here, it is demonstrated that a stiff mechanical microenvironment impedes oligodendrocyte myelination, independently and distinctively from oligodendrocyte differentiation. Yes-associated protein is identified to be involved in influencing oligodendrocyte myelination through mechanotransduction. The opposing effects on oligodendrocyte differentiation and myelination provide important implications for current work screening for promyelinating drugs, since these efforts have focused mainly on promoting oligodendrocyte differentiation. Thus, the platform may have considerable utility as part of a drug discovery program in identifying molecules that promote both differentiation and myelination.",2020-08-12,Journal Article,32790058
Genetic influences on cortical myelination in the human brain.,"Adult,Cerebral Cortex,Connectome,Female,Humans,Male,Models, Genetic,Myelin Sheath,Pedigree,Twins, Dizygotic,Twins, Monozygotic","Cortical myelination, which is essential for interneuronal communication and neurodevelopment, has been reported to be under genetic control. However, the degree to which genes contribute to the variability of myelination, the pattern of genetic control, and how genes influence the organization of myelination are largely unknown. To answer these questions, the present study calculated heritability estimates for myelination of the cortical regions using the high quality structural magnetic resonance imaging (MRI) scans from the Human Connectome Project pedigree cohort (n = 873, 383/490 M/F, 22-36 years of age). Then, we used transcriptional profiles to evaluate the contribution of myelination-related genes (data from the Allen Human Brain Atlas) to explain interregional variations in cortical myelination. Our results showed that all the cortical areas were modestly to moderately influenced by genetic factors (h<sup>2</sup> = 29%-66%, all Ps < 0.05 after Bonferroni correction). The genetic control of cortical myelination showed bilateral symmetry and an anterior-to-posterior gradation. A bivariate model indicated that the regions are strongly genetically correlated with their homologs in the opposite cerebral hemisphere. A cross-modal analysis did not find a correlation between cortical myelination and the expression levels of myelination-related genes. This could have been due to the small number of samples with expression data in each cortical region. Overall, our findings suggest that cortical myelination is shaped by genetic factors and may be useful to bridge the underlying genetic variants and the cognitive functioning and related neuropsychiatric disorders.",2018-11-26,Journal Article,30394688
Manipulating Neuronal Activity in the Developing Zebrafish Spinal Cord to Investigate Adaptive Myelination.,"Animals,Animals, Genetically Modified,Female,Genetic Testing,Male,Models, Animal,Myelin Sheath,Neurons,Oligodendroglia,Single-Cell Analysis,Spinal Cord,Workflow,Zebrafish","In the central nervous system, oligodendrocyte-lineage cells and myelination can adapt to physiological brain activity. Since myelin can in turn regulate neuronal function, such ""adaptive"" myelination has been proposed as a form of nervous system plasticity, implicated in learning and cognition. The molecular and cellular mechanisms underlying adaptive myelination and its functional consequences remain to be fully defined, partly because it remains challenging to manipulate activity and monitor myelination over time in vivo at single-cell resolution, in a model that would also allow examination of the functional output of individual neurons and circuits. Here, we describe a workflow to manipulate neuronal activity and to assess oligodendrocyte-lineage cell dynamics and myelination in larval zebrafish, a vertebrate animal model that is ideal for live imaging and amenable to genetic discovery, and that has well-characterized neuronal circuits with myelinated axons.",NA,Journal Article,30820901
SyMRI detects delayed myelination in preterm neonates.,"Brain,Contrast Media,Female,Gestational Age,Humans,Infant, Newborn,Infant, Premature,Magnetic Resonance Imaging,Male,Nerve Fibers, Myelinated,Software","The software ""SyMRI"" generates different MR contrasts and characterizes tissue properties based on a single acquisition of a multi-dynamic multi-echo (MDME)-FLAIR sequence. The aim of this study was to assess the applicability of ""SyMRI"" in the assessment of myelination in preterm and term-born neonates. Furthermore, ""SyMRI"" was compared with conventional MRI.",2019-07-08,Journal Article,31286188
