Melatonin attenuates 5-fluorouracil-induced spatial memory and hippocampal neurogenesis impairment in adult rats.,"Animals,Antimetabolites,Biomarkers,Cell Proliferation,Cognitive Dysfunction,Dentate Gyrus,Drug Administration Schedule,Fluorouracil,Hippocampus,Injections, Intravenous,Ki-67 Antigen,Male,Melatonin,Memory Disorders,Microtubule-Associated Proteins,Neurogenesis,Neurons,Neuropeptides,Neuroprotective Agents,Rats,Rats, Sprague-Dawley,Spatial Memory","Treatment with 5-fluorouracil (5-FU) can cause impairment to adult hippocampal neurogenesis, resulting in cognitive deficits. As melatonin has been shown to enhance memory and hippocampal neurogenesis in animal models, this research investigated the neuroprotective effects of melatonin against spatial memory and hippocampal neurogenesis impairment in 5-fluorouracil (5-FU)-treated rats.",2020-02-25,Journal Article,32105705
Dexmedetomidine attenuates ethanol-induced inhibition of hippocampal neurogenesis in neonatal mice.,"Animals,Animals, Newborn,Cell Proliferation,Dexmedetomidine,Ethanol,Gene Expression Regulation,Hippocampus,Hypnotics and Sedatives,Mice,Microglia,Neurogenesis","Ethanol (EtOH) exposure during a period comparable to the third trimester in human results in obvious neurotoxicity in the developing hippocampus and persistent deficits in hippocampal neurogenesis. Dexmedetomidine (DEX), a highly selective α-2-adrenergic agonist has been demonstrated to restore the impaired neurogenesis and neuronal plasticity in the dentate gyrus (DG) that follows neurological insult. However, the protective roles of DEX in the EtOH-induced deficits of postnatal neurogenesis in the hippocampus are still unknown.",2020-01-16,Journal Article,31954762
Microglia Actively Remodel Adult Hippocampal Neurogenesis through the Phagocytosis Secretome.,"Animals,Apoptosis,Calcium Signaling,Cell Line, Tumor,Chromatin Assembly and Disassembly,Culture Media, Conditioned,Feedback, Physiological,Female,Gene Expression Regulation, Developmental,Genes, Reporter,Hippocampus,Humans,Male,Mice,Mice, Inbred C57BL,Mice, Knockout,Microglia,Nerve Regeneration,Nerve Tissue Proteins,Neurogenesis,Neurons,Phagocytosis,Receptors, Purinergic P2Y12,Transcriptome,c-Mer Tyrosine Kinase","During adult hippocampal neurogenesis, most newborn cells undergo apoptosis and are rapidly phagocytosed by resident microglia to prevent the spillover of intracellular contents. Here, we propose that phagocytosis is not merely passive corpse removal but has an active role in maintaining neurogenesis. First, we found that neurogenesis was disrupted in male and female mice chronically deficient for two phagocytosis pathways: the purinergic receptor P2Y12, and the tyrosine kinases of the TAM family Mer tyrosine kinase (MerTK)/Axl. In contrast, neurogenesis was transiently increased in mice in which MerTK expression was conditionally downregulated. Next, we performed a transcriptomic analysis of the changes induced by phagocytosis in microglia <i>in vitro</i> and identified genes involved in metabolism, chromatin remodeling, and neurogenesis-related functions. Finally, we discovered that the secretome of phagocytic microglia limits the production of new neurons both <i>in vivo</i> and <i>in vitro</i> Our data suggest that microglia act as a sensor of local cell death, modulating the balance between proliferation and survival in the neurogenic niche through the phagocytosis secretome, thereby supporting the long-term maintenance of adult hippocampal neurogenesis.<b>SIGNIFICANCE STATEMENT</b> Microglia are the brain professional phagocytes and, in the adult hippocampal neurogenic niche, they remove newborn cells naturally undergoing apoptosis. Here we show that phagocytosis of apoptotic cells triggers a coordinated transcriptional program that alters their secretome, limiting neurogenesis both <i>in vivo</i> and <i>in vitro</i> In addition, chronic phagocytosis disruption in mice deficient for receptors P2Y12 and MerTK/Axl reduces adult hippocampal neurogenesis. In contrast, inducible MerTK downregulation transiently increases neurogenesis, suggesting that microglial phagocytosis provides a negative feedback loop that is necessary for the long-term maintenance of adult hippocampal neurogenesis. Therefore, we speculate that the effects of promoting engulfment/degradation of cell debris may go beyond merely removing corpses to actively promoting regeneration in development, aging, and neurodegenerative diseases.",2020-01-02,Journal Article,31896673
The Temporal Neurogenesis Patterning of Spinal p3-V3 Interneurons into Divergent Subpopulation Assemblies.,"Animals,Axonal Transport,Basic Helix-Loop-Helix Transcription Factors,Cell Lineage,Cell Movement,Crosses, Genetic,Glutamic Acid,Interneurons,Mice,Mice, Knockout,Neurogenesis,Neurotransmitter Agents,Patch-Clamp Techniques,Repressor Proteins,Spinal Cord,Time Factors","Neuronal diversity provides the spinal cord with the functional flexibility required to perform complex motor tasks. Spinal neurons arise during early embryonic development with the establishment of spatially and molecularly discrete progenitor domains that give rise to distinct, but highly heterogeneous, postmitotic interneuron (IN) populations. Our previous studies have shown that Sim1-expressing V3 INs, originating from the p3 progenitor domain, are anatomically and physiologically divergent. However, the developmental logic guiding V3 subpopulation diversity remains elusive. In specific cases of other IN classes, neurogenesis timing can play a role in determining the ultimate fates and unique characteristics of distinctive subpopulations. To examine whether neurogenesis timing contributes to V3 diversity, we systematically investigated the temporal neurogenesis profiles of V3 INs in the mouse spinal cord. Our work uncovered that V3 INs were organized into either early-born [embryonic day 9.5 (E9.5) to E10.5] or late-born (E11.5-E12.5) neurogenic waves. Early-born V3 INs displayed both ascending and descending commissural projections and clustered into subgroups across dorsoventral spinal laminae. In contrast, late-born V3 INs became fate-restricted to ventral laminae and displayed mostly descending and local commissural projections and uniform membrane properties. Furthermore, we found that the postmitotic transcription factor, Sim1, although expressed in all V3 INs, exclusively regulated the dorsal clustering and electrophysiological diversification of early-born, but not late-born, V3 INs, which indicates that neurogenesis timing may enable newborn V3 INs to interact with different postmitotic differentiation pathways. Thus, our work demonstrates neurogenesis timing as a developmental mechanism underlying the postmitotic differentiation of V3 INs into distinct subpopulation assemblies.<b>SIGNIFICANCE STATEMENT</b> Interneuron (IN) diversity empowers the spinal cord with the computation flexibility required to perform appropriate sensorimotor control. As such, uncovering the developmental logic guiding spinal IN diversity is fundamental to understanding the development of movement. In our current work, through a focus on the cardinal spinal V3 IN population, we investigated the role of neurogenesis timing on IN diversity. We uncovered that V3 INs are organized into early-born [embryonic day 9.5 (E9.5) to E10.5] or late-born (E11.5-E12.5) neurogenic waves, where late-born V3 INs display increasingly restricted subpopulation fates. Next, to better understand the consequences of V3 neurogenesis timing, we investigated the time-dependent functions of the Sim1 transcription factor, which is expressed in postmitotic V3 INs. Interestingly, Sim1 exclusively regulated the diversification of early-born, but not late-born, V3 INs. Thus, our current work indicates neurogenesis timing can modulate the functions of early postmitotic transcription factors and, thus, subpopulation fate specifications.",2019-12-11,Comparative Study,31826942
Hippocampal Neurogenesis and Neural Circuit Formation in a Cuprizone-Induced Multiple Sclerosis Mouse Model.,"Animals,Cell Proliferation,Cognitive Dysfunction,Cuprizone,Disease Models, Animal,Hippocampus,Male,Mice,Mice, Inbred C57BL,Monoamine Oxidase Inhibitors,Multiple Sclerosis,Neural Pathways,Neural Stem Cells,Neurogenesis,Neurons","Cognitive impairments are key features in multiple sclerosis (MS), a progressive disorder characterized by neuroinflammation-induced demyelination in the central nervous system. To understand the neural substrates that link demyelination to cognitive deficits in MS, we investigated hippocampal neurogenesis and synaptic connectivity of adult-born neurons, which play an essential role in cognitive function. The administration and withdrawal of the combination of cuprizone and rapamycin (Cup/Rap) in C57BL/6J male mice efficiently demyelinated and remyelinated the hippocampus, respectively. In the demyelinated hippocampus, neurogenesis was nearly absent in the dentate gyrus, which was due to inhibited proliferation of neural stem cells (NSCs). Specifically, radial glia-like type 1 NSCs were shifted from a proliferative state to a mitotically-quiescent state in the demyelinated hippocampus. In addition, dendritic spine densities of adult-born neurons were significantly decreased, indicating a reduction in synaptic connections between hippocampal newborn neurons and excitatory input neurons. Concomitant with hippocampal remyelination induced by withdrawal of Cup/Rap, proliferation of type 1 NSCs and dendritic spine densities of adult-born neurons reverted to normal in the hippocampus. Our study shows that proliferation of hippocampal NSCs and synaptic connectivity of adult-born neurons are inversely correlated with the level of demyelination, providing critical insight into hippocampal neurogenesis as a potential therapeutic target to treat cognitive deficits associated with MS.<b>SIGNIFICANCE STATEMENT</b> To identify the neural substrates that mediate cognitive dysfunctions associated with a majority of MS patients, we investigated hippocampal neurogenesis and structural development of adult-born neurons using a Cup/Rap model, which recapitulates the hippocampal demyelination that occurs in MS patients. A shift of NSCs from a proliferatively-active state to mitotically-quiescent state dramatically decreased neurogenesis in the demyelinated hippocampus. Formation of dendritic spines on newborn neurons was also impaired following demyelination. Interestingly, the altered neurogenesis and synaptic connectivity of newborn neurons were reversed to normal levels during remyelination. Thus, our study revealed reversible genesis and synaptic connectivity of adult-born neurons between the demyelinated and remyelinated hippocampus, suggesting hippocampal neurogenesis as a potential target to normalize cognitive impairments in MS patients.",2019-11-12,Journal Article,31719166
Postnatal Lipopolysaccharide Exposure Impairs Adult Neurogenesis and Causes Depression-like Behaviors Through Astrocytes Activation Triggering GABAA Receptor Downregulation.,"Animals,Astrocytes,Brain-Derived Neurotrophic Factor,Depression,Down-Regulation,Female,Glutamate Decarboxylase,Hippocampus,Lipopolysaccharides,Male,Membrane Glycoproteins,Mice,Mice, Inbred C57BL,Neurogenesis,Protein-Tyrosine Kinases,Receptors, GABA-A,Vesicular Inhibitory Amino Acid Transport Proteins","Growing evidence indicates that early-life inflammation has adverse effects on adult hippocampal neurogenesis and GABA system. Based the report that hippocampal GABA system is a key modulator in adult hippocampal neurogenesis, the aim of this study was to investigate whether and how early inflammation affects GABAergic system resulting in the alterations of adult hippocampal neurogenesis and related behaviors. Neonatal mice received a daily subcutaneous injection of lipopolysaccharide (LPS, 50 μg/kg) or saline on postnatal days (PND) 3-5. Behavioral tests were used to explore LPS-induced depression-like behaviors of adult mice. Immunohistochemistry staining and western blot were employed to detect adult neurogenesis, GABAergic system, glia activation and BDNF-TrkB pathway in the hippocampus. LPS-treated mice developed a depression phenotype with the inhibited maturation of hippocampal newborn neurons in adulthood. Compared with controls, LPS mice showed a decreased expression of GABAA receptor (GABA<sub>A</sub>R) protein. GABA<sub>A</sub>R agonist phenobarbital could rectify the decrease of BrdU<sup>+</sup>/NeuN<sup>+</sup> cells in LPS mice. Additionally, postnatal LPS treatment resulted in the activation of astrocytes and the increase expression of toll-like receptor 4 (TLR4) in the second postnatal week and the downregulation of BDNF-TrkB pathway in adulthood. The treatment with TLR4 inhibitor TAK-242 restored the decrease of BrdU<sup>+</sup>/NeuN<sup>+</sup> cells and depression-like behaviors in LPS mice via improving GABA<sub>A</sub>R. The results indicate that postnatal LPS exposure impairs adult hippocampal neurogenesis and causes depression-like behaviors through early astrocytes activation triggering the later GABA<sub>A</sub>R downregulation.",2019-11-01,Journal Article,31682957
Nippostrongylus brasiliensis infection inhibits hippocampal neurogenesis in mice.,"Animals,Female,Hippocampus,Immunity, Cellular,Mice,Neurogenesis,Nippostrongylus,Random Allocation,Rats,Rats, Sprague-Dawley,Strongylida Infections","The brain has long been considered a site of ""immune privilege""; however, recent evidence indicates the presence of brain-immune interactions in physiological and pathological conditions. Neurogenesis, a process of generating functionally integrated neurons, occurs in the adult brain of mammals. The adult neurogenesis predominantly takes place in the subgranular zone (SGZ) of the hippocampal dentate gyrus and the subventricular zone (SVZ). Several studies have shown that an immune reaction or alteration could affect adult neurogenesis activity, suggesting a link between the immune system and adult neurogenesis. Helminth infection is one of the activators of Th2 immune response. However, the influence of this type of immune reaction on adult neurogenesis is not well studied. In this study, we evaluated adult neurogenesis in mice infected with the helminth Nippostrongylus brasiliensis (Nb). Immunohistochemically, the number of both doublecortin-positive cells and doublecortin/5-bromodeoxyuridine (BrdU)-double-positive cells was decreased in the SGZ of Nb-infected mice by day 9 after infection. However, the total number of BrdU-positive newborn cells in the SGZ did not change. In no significant alterations were detected in the SVZ of infected mice. In addition, using reverse transcription-quantitative polymerase chain reaction, we observed no significant changes in the expression levels of neurotropic factors important for neurogenesis in the hippocampus. In conclusion, our results indicate that adult neurogenesis in SGZ, but not in SVZ, is inhibited by Nb infection. Th2 immune response might have a suppressive effect on hippocampal neurogenesis.",2019-09-09,Journal Article,31502307
Neurogenesis promoted by the CD200/CD200R signaling pathway following treadmill exercise enhances post-stroke functional recovery in rats.,"Animals,Antigens, CD,Cell Differentiation,Cell Proliferation,Exercise Test,Hippocampus,Infarction, Middle Cerebral Artery,Male,Neural Stem Cells,Neurogenesis,Neurons,Physical Conditioning, Animal,Physical Exertion,Rats,Rats, Sprague-Dawley,Receptors, Immunologic,Recovery of Function,Signal Transduction,Stroke,Stroke Rehabilitation","Stroke is a leading cause of long-term disability worldwide; survivors often show sensorimotor and cognitive deficits. Therapeutic exercise is the most common treatment strategy for rehabilitating patients with stroke via augmentation of neurogenesis, angiogenesis, neurotrophic factors expression, and synaptogenesis. Neurogenesis plays important roles in sensorimotor and cognitive functional recovery, and can be promoted by exercise; however, the mechanism underlying this phenomenon remains unclear. In this study, we explored the effects of treadmill exercise on sensorimotor and cognitive functional recovery, as well as the potential molecular mechanisms underlying the promotion of neurogenesis in a rat model of transient middle cerebral artery occlusion (tMCAO). We found that treadmill exercise facilitated sensorimotor and cognitive functional recovery after tMCAO, and that neural stem/progenitor cell proliferation, differentiation, and migration were enhanced in the ipsilateral subventricular and subgranular zones after tMCAO. Meanwhile, the newborn neurons induced by treadmill exercise after tMCAO had the similar function with pre-existing neurons. Treadmill exercise significantly increased CD200 and CD200 receptor (CD200R) levels in the ipsilateral hippocampus and cortex. Further study revealed that treadmill exercise-induced neurogenesis and functional recovery were clearly inhibited, while Il-β and Tnf-α expression were upregulated, following lentivirus (LV)-induced suppression of post-stroke CD200R expression. Consistent with the effect of treadmill exercise, CD200Fc (a CD200R agonist) markedly promoted neurogenesis and functional recovery after stroke. In addition, CD200Fc could further enhance the functional recovery induced by treadmill exercise after stroke. Our results demonstrate the beneficial role of treadmill exercise in promoting neurogenesis and functional recovery via activating the CD200/CD200R signaling pathway and improving the inflammatory environment after stroke. Thus, the CD200/CD200R signaling pathway is a potential therapeutic target for functional recovery after stroke.",2019-09-09,Journal Article,31513876
A combination of running and memantine increases neurogenesis and reduces activation of developmentally-born dentate granule neurons in rats.,"Animals,Brain,Dentate Gyrus,Hippocampus,Male,Memantine,Memory,Neurogenesis,Neuronal Plasticity,Neurons,Physical Conditioning, Animal,Proto-Oncogene Proteins c-fos,Rats,Rats, Long-Evans,Running","During hippocampal-dependent memory formation, sensory signals from the neocortex converge in the dentate gyrus. It is generally believed that the dentate gyrus decorrelates inputs in order to minimize interference between codes for similar experiences, often referred to as pattern separation. The proportion of dentate neurons that are activated by experience is therefore likely to impact how memories are stored and separated. Emerging evidence from mouse models suggests that adult-born neurons can both increase and decrease activity levels in the dentate gyrus. However, the conditions that determine the direction of this modulation, and whether it occurs in other species, remains unclear. Furthermore, since the dentate gyrus is composed of a heterogeneous population of cells that are born throughout life, newborn neurons may not modulate all cells equally. We aimed to investigate whether adult neurogenesis in rats regulates activity in dentate gyrus neurons that are born at the peak of early postnatal development. Adult neurogenesis was increased by subjecting rats to an alternating running and memantine treatment schedule, and it was decreased with a transgenic GFAP-TK rat model. Activity was measured by Fos expression in BrdU<sup>+</sup> cells after rats explored a novel environment. Running+memantine treatment increased adult neurogenesis by only 17%, but completely blocked experience-dependent Fos expression. In contrast, GFAP-TK rats had a 68% reduction in adult neurogenesis but normal experience-dependent Fos expression. The inconsistent relationship between neurogenesis and Fos expression suggests that neurogenesis does not regulate DG activity during exploration of a novel environment. Nonetheless, running and memantine may benefit disorders where there is elevated activity in the dentate gyrus, such as anxiety and age-related memory impairments.",2019-06-02,Journal Article,31167109
Consistent within-group covariance of septal and temporal hippocampal neurogenesis with behavioral phenotypes for exploration and memory retention across wild and laboratory small rodents.,"Animals,Arvicolinae,Exploratory Behavior,Female,Hippocampus,Male,Memory,Mice,Mice, Inbred C57BL,Mice, Inbred DBA,Neurogenesis,Neurons,Rodentia,Temporal Lobe","Striking differences in the septo-temporal distribution of neurogenesis are found in small rodents. Here, we assessed the association of adult hippocampal neurogenesis with behavioral responses to novelty, temporal and spatial sequence and reversal learning in wild, wild-derived and laboratory rodents using an automated testing apparatus, the IntelliCage. Behaviorally, DBA/2 and wild-derived house mice were quickest to explore a novel environment, wild wood mice and bank voles were slowest, and C57BL/6 intermediate. Rule learning (temporal and spatial) was fastest in wood mice and bank voles, while DBA/2 and house mice performed poorer. C57BL/6 performed similar to the house mice in the temporal task and similar to wild rodents in the spatial task. Using the number of DCX-positive neurons and proliferating, Ki67-positive cells in the septal, intermediate and temporal hippocampus as a proxy, an ANCOVA was used to test for within-group relations between neurogenesis and behavior. We found that higher numbers of DCX-positive cells in the temporal hippocampus were associated with an increased latency and a lower frequency to explore a novel environment. Temporal and spatial sequence learning was not associated with neurogenesis. In the spatial reversal task however, animals with higher septal neurogenesis showed a persevering phenotype and slower re-learning. Our findings provide strong evidence of septo-temporally segregated neurogenesis effects on behavior across five rodent strains and species. While temporal neurogenesis covaries with behavioral responses to novelty, septal neurogenesis relates to perseverance of a successfully learned spatial rule. Importantly, these associations were independent of species or strain and can be found in both wild and domesticated rodents.",2019-06-12,Journal Article,31201873
