Toward a Better Understanding of Neuronal Migration Deficits in Autism Spectrum Disorders.,nothingggggggg,"Newborn neurons in developing brains actively migrate from germinal zones to designated regions before being wired into functional circuits. The motility and trajectory of migrating neurons are regulated by both extracellular factors and intracellular signaling cascades. Defects in the molecular machinery of neuronal migration lead to mis-localization of affected neurons and are considered as an important etiology of multiple developmental disorders including epilepsy, dyslexia, schizophrenia (SCZ), and autism spectrum disorders (ASD). However, the mechanisms that link neuronal migration deficits to the development of these diseases remain elusive. This review focuses on neuronal migration deficits in ASD. From a translational perspective, we discuss (1) whether neuronal migration deficits are general neuropathological characteristics of ASD; (2) how the phenotypic heterogeneity of neuronal migration disorders is generated; (3) how neuronal migration deficits lead to functional defects of brain circuits; and (4) how therapeutic intervention of neuronal migration deficits can be a potential treatment for ASD.",2019-09-20,Journal Article,31620440
Neuronal Migration on Silicon Microcone Arrays with Different Pitches.,nothingggggggg,"Neuronal migration is a complicated but fundamental process for proper construction and functioning of neural circuits in the brain. Many in vivo studies have suggested the involvement of environmental physical features of a neuron in its migration, but little effort has been made for the in vitro demonstration of topography-driven neuronal migration. This work investigates migratory behaviors of primary hippocampal neurons on a silicon microcone (SiMC) array that presents 14 different pitch domains (pitch: 2.5-7.3 µm). Neuronal migration becomes the maximum at the pitch of around 3 µm, with an upper migration threshold of about 4 µm. Immunocytochemical studies indicate that the speed and direction of migration, as well as its probability of occurrence, are correlated with the morphology of the neuron, which is dictated by the pitch and shape of underlying SiMC structures. In addition to the effects on neuronal migration, the real-time imaging of migrating neurons on the topographical substrate reveals new in vitro modes of neuronal migration, which have not been observed on the conventional flat culture plate, but been suggested by in vivo studies.",2020-08-20,Journal Article,32815647
Nesprin-2 Recruitment of BicD2 to the Nuclear Envelope Controls Dynein/Kinesin-Mediated Neuronal Migration In Vivo.,nothingggggggg,"Vertebrate brain development depends on a complex program of cell proliferation and migration. Post-mitotic neuronal migration in the developing cerebral cortex involves Nesprin-2, which recruits cytoplasmic dynein, kinesin, and actin to the nuclear envelope (NE) in other cell types. However, the relative importance of these interactions in neurons has remained poorly understood. To address these issues, we performed in utero electroporation into the developing rat brain to interfere with Nesprin-2 function. We find that an ∼100-kDa ""mini"" form of the ∼800-kDa Nesprin-2 protein, which binds dynein and kinesin, is sufficient, remarkably, to support neuronal migration. In contrast to dynein's role in forward nuclear migration in these cells, we find that kinesin-1 inhibition accelerates neuronal migration, suggesting a novel role for the opposite-directed motor proteins in regulating migration velocity. In contrast to studies in fibroblasts, the actin-binding domain of Nesprin-2 was dispensable for neuronal migration. We find further that, surprisingly, the motor proteins interact with Nesprin-2 through the dynein/kinesin ""adaptor"" BicD2, both in neurons and in non-mitotic fibroblasts. Furthermore, mutation of the Nesprin-2 LEWD sequence, implicated in nuclear envelope kinesin recruitment in other systems, interferes with BicD2 binding. Although disruption of the Nesprin-2/BicD2 interaction severely inhibited nuclear movement, centrosome advance proceeded unimpeded, supporting an independent mechanism for centrosome advance. Our data together implicate Nesprin-2 as a novel and fundamentally important form of BicD2 cargo and help explain BicD2's role in neuronal migration and human disease.",2020-07-02,Journal Article,32619477
Blood vessels as a scaffold for neuronal migration.,"Animals,Astrocytes,Blood Vessels,Blood-Brain Barrier,Brain,Cell Movement,Humans,Neural Stem Cells,Neurogenesis,Neurons,Stroke,Tissue Scaffolds","Neurogenesis and angiogenesis share regulatory factors that contribute to the formation of vascular networks and neuronal circuits in the brain. While crosstalk mechanisms between neural stem cells (NSCs) and the vasculature have been extensively investigated, recent studies have provided evidence that blood vessels also play an essential role in neuronal migration in the brain during development and regeneration. The mechanisms of the neuronal migration along blood vessels, referred to as ""vascular-guided migration,"" are now being elucidated. The vascular endothelial cells secrete soluble factors that attract and promote neuronal migration in collaboration with astrocytes that enwrap the blood vessels. In addition, especially in the adult brain, the blood vessels serve as a migration scaffold for adult-born immature neurons generated in the ventricular-subventricular zone (V-SVZ), a germinal zone surrounding the lateral ventricles. The V-SVZ-derived immature neurons use the vascular scaffold to assist their migration toward an injured area after ischemic stroke, and contribute to neuronal regeneration. Here we review the current knowledge about the role of vasculature in neuronal migration and the molecular mechanisms controlling this process. While most of this research has been done in rodents, a comprehensive understanding of vasculature-guided neuronal migration could contribute to new therapeutic approaches for increasing new neurons in the brain after injury.",2019-03-06,Journal Article,30851365
Drebrin-like (Dbnl) Controls Neuronal Migration via Regulating N-Cadherin Expression in the Developing Cerebral Cortex.,"Animals,Cadherins,Cell Membrane,Cell Movement,Cerebral Cortex,Female,Gene Expression Regulation, Developmental,Gene Knockdown Techniques,Lateral Ventricles,Male,Mice,Mice, Inbred ICR,Microfilament Proteins,Neurons,Pregnancy,src Homology Domains","The actin cytoskeleton is crucial for neuronal migration in the mammalian developing cerebral cortex. The adaptor protein Drebrin-like (Dbnl) plays important roles in reorganization of the actin cytoskeleton, dendrite formation, and endocytosis by interacting with F-actin, cobl, and dynamin. Although Dbnl is known to be expressed in the brain, the functions of this molecule during brain development are largely unknown. In this study, to examine the roles of Dbnl in the developing cerebral cortex, we conducted experiments using mice of both sexes with knockdown of Dbnl, effected by <i>in utero</i> electroporation, in the migrating neurons of the embryonic cortex. Time-lapse imaging of the Dbnl-knockdown neurons revealed that the presence of Dbnl is a prerequisite for appropriate formation of processes in the multipolar neurons in the multipolar cell accumulation zone or the deep part of the subventricular zone, and for neuronal polarization and entry into the cortical plate. We found that Dbnl knockdown decreased the amount of N-cadherin protein expressed on the plasma membrane of the cortical neurons. The defect in neuronal migration caused by Dbnl knockdown was rescued by moderate overexpression of N-cadherin and αN-catenin or by transfection of the phospho-mimic form (Y337E, Y347E), but not the phospho-resistant form (Y337F, Y347F), of Dbnl. These results suggest that Dbnl controls neuronal migration, neuronal multipolar morphology, and cell polarity in the developing cerebral cortex via regulating N-cadherin expression.<b>SIGNIFICANCE STATEMENT</b> Disruption of neuronal migration can cause neuronal disorders, such as lissencephaly and subcortical band heterotopia. During cerebral cortical development, the actin cytoskeleton plays a key role in neuronal migration; however, the mechanisms of regulation of neuronal migration by the actin cytoskeleton still remain unclear. Herein, we report that the novel protein Dbnl, an actin-binding protein, controls multiple events during neuronal migration in the developing mouse cerebral cortex. We also showed that this regulation is mediated by phosphorylation of Dbnl at tyrosine residues 337 and 347 and αN-catenin/N-cadherin, suggesting that the Dbnl-αN-catenin/N-cadherin pathway is important for neuronal migration in the developing cortex.",2018-11-30,Journal Article,30504273
AMP-activated protein kinase regulates cytoplasmic dynein behavior and contributes to neuronal migration in the developing neocortex.,nothingggggggg,"The microtubule motor cytoplasmic dynein contributes to radial migration of newborn pyramidal neurons in the developing neocortex. Here, we show that AMP-activated protein kinase (AMPK) mediates the nucleus-centrosome coupling, a key process for radial neuronal migration that relies on dynein. Depletion of the catalytic subunit of AMPK in migrating neurons impairs this coupling as well as neuronal migration. AMPK shows overlapping subcellular distribution with cytoplasmic dynein and the two proteins interact with each other. Pharmacological inhibition or activation of AMPK modifies the phosphorylation states of dynein intermediate chain (DIC) and dynein functions. Furthermore, AMPK phosphorylates DIC at Ser81. Expression of a phospho-resistant mutant of DIC retards neuronal migration in a similar way to AMPK depletion. Conversely, expression of the phospho-mimetic mutant of DIC alleviates impaired neuronal migration caused by AMPK depletion. Thus, AMPK-regulated dynein function via Ser81 DIC phosphorylation is crucial for radial neuronal migration.",2020-07-15,Journal Article,32554528
Multiple sevoflurane exposures during pregnancy inhibit neuronal migration by upregulating prostaglandin D2 synthase.,"Anesthetics, Inhalation,Animals,Animals, Newborn,Cell Movement,Cerebral Cortex,Female,Intramolecular Oxidoreductases,Lipocalins,Maze Learning,Mice,Neurons,Pregnancy,Prenatal Exposure Delayed Effects,Sevoflurane,Up-Regulation","The second trimester is a period of neurogenesis and neuronal migration, which may be affected by exposure to anesthetics. Studies have suggested that multiple anesthetic exposures may have a significant impact on neuronal migration.",2019-09-06,Journal Article,31499143
Prenatal Environment That Affects Neuronal Migration.,nothingggggggg,"Migration of neurons starts in the prenatal period and continues into infancy. This developmental process is crucial for forming a proper neuronal network, and the disturbance of this process results in dysfunction of the brain such as epilepsy. Prenatal exposure to environmental stress, including alcohol, drugs, and inflammation, disrupts neuronal migration and causes neuronal migration disorders (NMDs). In this review, we summarize recent findings on this topic and specifically focusing on two different modes of migration, radial, and tangential migration during cortical development. The shared mechanisms underlying the NMDs are discussed by comparing the molecular changes in impaired neuronal migration under exposure to different types of prenatal environmental stress.",2019-07-17,Journal Article,31380373
Calcium signalling: a key regulator of neuronal migration.,"Animals,Calcium,Calcium Signaling,Cell Movement,Cell Shape,Glutamic Acid,Humans,Ion Transport,Neurons,gamma-Aminobutyric Acid","Neuronal migration is a crucial event in neuronal development for the construction of brain architecture and neuronal networks. Newborn neurons proliferate in the germinal zone and start migration toward their final destination. Migrating neurons adopt different routes, cell shapes and migratory modes depending on extracellular factors and outer physical substrates. Intracellular Ca2+ is an essential second messenger that regulates diverse cellular functions by activating Ca2+-dependent signalling molecules that underlie Ca2+-responsive cellular functions. Neuronal migration during brain architecture construction is no exception. Spontaneous Ca2+ transients are observed in several types of migrating neurons, and a series of Ca2+-dependent signalling molecules governing neuronal migration has been identified. In this review, we first summarize the molecular mechanisms that trigger intracellular Ca2+ elevation in migrating neurons. In the latter half of this review, we provide an overview of the literature on Ca2+-dependent signalling molecules underlying neuronal migration.",NA,Journal Article,30753600
Neuronal Migration During Development of the Cerebellum.,nothingggggggg,"Neuronal migration is a fundamental process in central nervous system (CNS) development. The assembly of functioning neuronal circuits relies on neuronal migration occurring in the appropriate spatio-temporal pattern. A defect in the neuronal migration may result in a neurological disorder. The cerebellum, as a part of the CNS, plays a pivotal role in motor coordination and non-motor functions such as emotion, cognition and language. The excitatory and inhibitory neurons within the cerebellum originate from different distinct germinal zones and migrate through complex routes to assemble in a well-defined neuronal organization in the cerebellar cortex and nuclei. In this review article, the neuronal migration modes and pathways from germinal zones to the final position in the cerebellar cortex and nuclei will be described. The cellular and molecular mechanisms involved in cerebellar neuronal migration during development will also be reviewed. Finally, some diseases and animal models associated with defects in neuronal migration will be presented.",2018-12-17,Journal Article,30618631
