Leptin Controls Glutamatergic Synaptogenesis and NMDA-Receptor Trafficking via Fyn Kinase Regulation of NR2B.,"Animals,HEK293 Cells,Hippocampus,Humans,Leptin,Phosphorylation,Primary Cell Culture,Proto-Oncogene Proteins c-fyn,Rats,Receptors, Leptin,Receptors, N-Methyl-D-Aspartate,Synapses","Activation of the leptin receptor, LepRb, by the adipocytokine/neurotrophic factor leptin in the central nervous system has procognitive and antidepressive effects. Leptin has been shown to increase glutamatergic synaptogenesis in multiple brain regions. In contrast, mice that have a mutation in the LepRb gene show abnormal synapse development in the hippocampus as well as deficits in cognition and increased depressive-like symptoms. Leptin increases glutamatergic synaptogenesis, in part, through enhancement of N-methyl-D-aspartic acid (NMDA) receptor function; yet the underlying signaling pathway is not known. In this study, we examine how leptin regulates surface expression of NR2B-containing NMDA receptors in hippocampal neurons. Leptin stimulation increases NR2BY1472 phosphorylation, which is inhibited by the Src family kinase inhibitor, PP1. Moreover, we show that Fyn, a member of the Src family kinases, is required for leptin-stimulated NR2BY1472 phosphorylation. Furthermore, inhibiting Y1472 phosphorylation with either a dominant negative Fyn mutant or an NR2B mutant that lacks the phosphorylation site (NR2BY1472F) blocks leptin-stimulated synaptogenesis. Additionally, we show that LepRb forms a complex with NR2B and Fyn. Taken together, these findings expand our knowledge of the LepRb interactome and the mechanisms by which leptin stimulates glutamatergic synaptogenesis in the developing hippocampus. Comprehending these mechanisms is key for understanding dendritic spine development and synaptogenesis, alterations of which are associated with many neurological disorders.",NA,Journal Article,31840160
Leptin stimulates synaptogenesis in hippocampal neurons via KLF4 and SOCS3 inhibition of STAT3 signaling.,nothingggggggg,"Normal development of neuronal connections in the hippocampus requires neurotrophic signals, including the cytokine leptin. During neonatal development, leptin induces formation and maturation of dendritic spines, the main sites of glutamatergic synapses in the hippocampal neurons. However, the molecular mechanisms for leptin-induced synaptogenesis are not entirely understood. In this study, we reveal two novel targets of leptin in developing hippocampal neurons and address their role in synaptogenesis. First target is Kruppel-Like Factor 4 (KLF4), which we identified using a genome-wide target analysis strategy. We show that leptin upregulates KLF4 in hippocampal neurons and that leptin signaling is important for KLF4 expression in vivo. Furthermore, KLF4 is required for leptin-induced synaptogenesis, as shKLF4 blocks and upregulation of KLF4 phenocopies it. We go on to show that KLF4 requires its signal transducer and activator of transcription 3 (STAT3) binding site and thus potentially blocks STAT3 activity to induce synaptogenesis. Second, we show that leptin increases the expression of suppressor of cytokine signaling 3 (SOCS3), another well-known inhibitor of STAT3, in developing hippocampal neurons. SOCS3 is also required for leptin-induced synaptogenesis and sufficient to stimulate it alone. Finally, we show that constitutively active STAT3 blocks the effects of leptin on spine formation, while the targeted knockdown of STAT3 is sufficient to induce it. Overall, our data demonstrate that leptin increases the expression of both KLF4 and SOCS3, inhibiting the activity of STAT3 in the hippocampal neurons and resulting in the enhancement of glutamatergic synaptogenesis during neonatal development.",2020-05-11,Journal Article,32438059
Transition between synaptic branch formation and synaptogenesis is regulated by the lin-4 microRNA.,"Animals,Axons,Biomarkers,Caenorhabditis elegans,Caenorhabditis elegans Proteins,MicroRNAs,Models, Biological,Neurogenesis,Synapses,Synaptic Vesicles,Synaptosomes,Time Factors","Axonal branch formation and synaptogenesis are sequential events that are required for the establishment of neuronal connectivity. However, little is known about how the transition between these two events is regulated. Here, we report that the lin-4 microRNA can regulate the transition between branch formation and synaptogenesis in the PLM axon of C. elegans. The PLM axon grows a collateral branch during the early L1 stage and undergoes synaptogenesis during the late L1 stage. Loss of the lin-4 microRNA disrupts synaptogenesis during the late L1 stage, suggesting that lin-4 promotes synaptogenesis. Conversely, the target of lin-4, the LIN-14 transcription factor, promotes PLM branch formation and inhibits synaptogenesis during the early L1 stage. Moreover, we present genetic evidence suggesting that synaptic vesicle transport is required for PLM branch formation and that the role of LIN-14 is to promote transport of synaptic vesicles to the region of future branch growth. These observations provide a novel mechanism whereby lin-4 promotes the transition from branch formation to synaptogenesis by repressing the branch-promoting and synaptogenesis-inhibiting activities of LIN-14.",2016-10-13,Journal Article,27746167
A Nerve Growth Factor Dipeptide Mimetic Stimulates Neurogenesis and Synaptogenesis in the Hippocampus and Striatum of Adult Rats with Focal Cerebral Ischemia.,nothingggggggg,"The nerve growth factor (NGF) and its mimetics, which have neuroprotective and neuroregenerative properties, are attractive candidates for developing new drugs for brain injury therapy. A dipeptide mimetic of NGF loop 4, bis(N-succinyl-L-glutamyl-L-lysine) hexamethylenediamide (GK-2), developed at the Zakusov Research Institute of Pharmacology, has the NGF-like ability to activate TrkA receptors, but unlike NGF, GK-2 activates mainly the PI3K/AKT pathway associated with neuroprotection and has no effect on the MAPK cascade associated with hyperalgesia, the main side effect of NGF. That GK-2 possesses neuroprotective activity has been observed in various models of cerebral ischemia. GK-2 was found to statistically significantly reduce the cerebral infarct volume in experimental stroke, even at treatment onset 24 h after injury. This suggests that GK-2 possesses neuroregenerative properties, which may be associated with the activation of neurogenesis and/or synaptogenesis. We studied the effect of GK-2 on neurogenesis and synaptogenesis in experimental ischemic stroke caused by transient occlusion of the middle cerebral artery in rats. GK-2 was administered 6 or 24 h after surgery and then once a day for 7 days. One day after the last administration, proliferative activity in the hippocampus and striatum of the affected hemisphere was assessed using Ki67 and synaptogenesis in the striatum was evaluated using synaptophysin and PSD-95. Ki67 immunoreactivity, both in the striatum and in the hippocampus of the ischemic rats, was found to have dropped by approximately 30% compared to that in the sham-operated controls. Synaptic markers - synaptophysin and PSD-95 - were also statistically significantly reduced, by 14 and 29%, respectively. GK-2 in both administration schedules completely restored the level of Ki67 immunoreactivity in the hippocampus and promoted its increase in the striatum. In addition, GK-2 restored the level of the postsynaptic marker PSD-95, with the therapeutic effect amounting to 70% at the start of its administration after 6 h, and promoted restoration of the level of this marker at the start of administration 24 h after an experimental stroke. GK-2 had no effect on the synaptophysin level. These findings suggest that the neurotrophin mimetic GK-2, which mainly activates one of the main Trk receptor signaling pathways PI3K/ AKT, has a stimulating effect on neurogenesis (and, probably, gliogenesis) and synaptogenesis in experimental cerebral ischemia. This effect may explain the protective effect observed at the start of dipeptide administration 24 h after stroke simulation.",NA,Journal Article,31720014
"Nerve, Muscle, and Synaptogenesis.","Agrin,Animals,Humans,Models, Animal,Neurogenesis,Neuromuscular Junction,Neurons,Synapses","The vertebrate skeletal neuromuscular junction (NMJ) has long served as a model system for studying synapse structure, function, and development. Over the last several decades, a neuron-specific isoform of agrin, a heparan sulfate proteoglycan, has been identified as playing a central role in synapse formation at all vertebrate skeletal neuromuscular synapses. While agrin was initially postulated to be the inductive molecule that initiates synaptogenesis, this model has been modified in response to work showing that postsynaptic differentiation can develop in the absence of innervation, and that synapses can form in transgenic mice in which the agrin gene is ablated. In place of a unitary mechanism for neuromuscular synapse formation, studies in both mice and zebrafish have led to the proposal that two mechanisms mediate synaptogenesis, with some synapses being induced by nerve contact while others involve the incorporation of prepatterned postsynaptic structures. Moreover, the current model also proposes that agrin can serve two functions, to induce synaptogenesis and to stabilize new synapses, once these are formed. This review examines the evidence for these propositions, and concludes that it remains possible that a single molecular mechanism mediates synaptogenesis at all NMJs, and that agrin acts as a stabilizer, while its role as inducer is open to question. Moreover, if agrin does not act to initiate synaptogenesis, it follows that as yet uncharacterized molecular interactions are required to play this essential inductive role. Several alternatives to agrin for this function are suggested, including focal pericellular proteolysis and integrin signaling, but all require experimental validation.",2019-11-16,Journal Article,31744142
The Adhesion-GPCR BAI1 Promotes Excitatory Synaptogenesis by Coordinating Bidirectional Trans-synaptic Signaling.,"Animals,Cell Adhesion Molecules, Neuronal,Cells, Cultured,Dendritic Spines,Female,Hippocampus,Male,Neuronal Plasticity,Pyramidal Cells,Rats, Long-Evans,Receptors, G-Protein-Coupled,Vesicular Glutamate Transport Protein 1,rac1 GTP-Binding Protein","Excitatory synapses are specialized cell-cell contacts located on actin-rich dendritic spines that mediate information flow and storage in the brain. The postsynaptic adhesion-G protein-coupled receptor (A-GPCR) BAI1 is a critical regulator of excitatory synaptogenesis, which functions in part by recruiting the Par3-Tiam1 polarity complex to spines, inducing local Rac1 GTPase activation and actin cytoskeletal remodeling. However, a detailed mechanistic understanding of how BAI1 controls synapse and spine development remains elusive. Here, we confirm that BAI1 is required <i>in vivo</i> for hippocampal spine development, and we identify three distinct signaling mechanisms mediating BAI1's prosynaptogenic functions. Using <i>in utero</i> electroporation to sparsely knock down BAI1 expression in hippocampal pyramidal neurons, we show that BAI1 cell-autonomously promotes spinogenesis in the developing mouse brain. BAI1 appears to function as a receptor at synapses, as its extracellular N-terminal segment is required for both its prospinogenic and prosynaptogenic functions. Moreover, BAI1 activation with a <i>Stachel</i>-derived peptide, which mimics a tethered agonist motif found in A-GPCRs, drives synaptic Rac1 activation and subsequent spine and synapse development. We also reveal, for the first time, a trans-synaptic function for BAI1, demonstrating in a mixed-culture assay that BAI1 induces the clustering of presynaptic vesicular glutamate transporter 1 (vGluT1) in contacting axons, indicative of presynaptic differentiation. Finally, we show that BAI1 forms a receptor complex with the synaptogenic cell-adhesion molecule Neuroligin-1 (NRLN1) and mediates NRLN1-dependent spine growth and synapse development. Together, these findings establish BAI1 as an essential postsynaptic A-GPCR that regulates excitatory synaptogenesis by coordinating bidirectional trans-synaptic signaling in cooperation with NRLN1.<b>SIGNIFICANCE STATEMENT</b> Adhesion-G protein-coupled receptors are cell-adhesion receptors with important roles in nervous system development, function, and neuropsychiatric disorders. The postsynaptic adhesion-G protein-coupled receptor BAI1 is a critical regulator of dendritic spine and excitatory synapse development. However, the mechanism by which BAI1 controls these functions remains unclear. Our study identifies three distinct signaling paradigms for BAI1, demonstrating that it mediates forward, reverse, and lateral signaling in spines. Activation of BAI1 by a <i>Stachel</i>-dependent mechanism induces local Rac1 activation and subsequent spinogenesis/synaptogenesis. BAI1 also signals trans-synaptically to promote presynaptic differentiation. Furthermore, BAI1 interacts with the postsynaptic cell-adhesion molecule Neuroligin-1 (NRLN1) and facilitates NRLN1-dependent spine growth and excitatory synaptogenesis. Thus, our findings establish BAI1 as a functional synaptogenic receptor that promotes presynaptic and postsynaptic development in cooperation with synaptic organizer NRLN1.",2018-08-17,Journal Article,30120207
Treatment with the Neurotrophic Protein S100B Increases Synaptogenesis after Traumatic Brain Injury.,nothingggggggg,"Release of neurotrophic and growth factors such as S100 calcium-binding protein B (S100B) yields an endogenous repair mechanism following traumatic brain injury (TBI). Although nanomolar S100B concentrations enhance hippocampal progenitor cell proliferation, neuronal differentiation, and cognitive recovery, micromolar concentrations may foster inflammatory effects counteracting neuroplasticity. The purpose of the present study was to investigate the effect of S100B on synaptogenesis and microglial activation following experimental TBI. Male Sprague-Dawley rats (n = 40) were subjected to lateral fluid percussion or sham injury, and S100B (50 ng/h) or phosphate buffered saline (PBS) was infused into the lateral ventricle for 7 days using osmotic micropumps. The animals were euthanized on day 5 or, 5 weeks post-injury, and 5 μm sections, 100 μm apart (bregma -3.3 to -5.6mm) were analyzed histologically. Cell proliferation was assessed injecting the mitotic marker Bromodeoxyuridine (BrdU) on day 2. S100B enhanced significantly the synaptophysin (SYN) expression and microglial activation (ectodysplasin [ED1]) in the hippocampus in TBI and uninjured sham animals. The glial activation (glial fibrillary acidic protein [GFAP], S100B immunoreactive cells), axonal injury (APP) and cell death (terminal deoxynucleotidyl transferase dUTP nick end labeling [TUNEL]) were not altered. Triple-labelling with BrdU, NeuN, and SYN confirmed a significant participation of S100B in hippocampal synaptogenesis in TBI and uninjured sham animals. Our results demonstrate that S100B augments hippocampal neuro- and synaptogenesis in TBI and uninjured sham animals, thereby improving cognitive function as demonstrated earlier. The S100B-induced microglial activation does not counteract this effect within the first 5weeks. Further studies are required to elucidate respective cellular signaling mechanisms and possible long-term effects.",2019-11-13,Journal Article,31597524
RLIPostC protects against cerebral ischemia through improved synaptogenesis in rats.,"Animals,Brain,Brain Edema,Brain Infarction,Disease Models, Animal,Disks Large Homolog 4 Protein,Extremities,GAP-43 Protein,Gene Expression Regulation,Infarction, Middle Cerebral Artery,Ischemic Postconditioning,Male,Neurologic Examination,Rats,Rats, Sprague-Dawley,Reperfusion Injury,Synapses,Synapsins","Remote limb ischemic post-conditioning (RLIPostC) has been shown to be neuroprotective in cerebral ischemia, whereas the effect of RLIPostC on synaptogenesis remains elusive. In the present study, we investigated the effects of RLIPostC on synaptogenesis in an experimental stroke rat model.",2018-07-23,Journal Article,30036110
Thrombospondin receptor α2δ-1 promotes synaptogenesis and spinogenesis via postsynaptic Rac1.,"Animals,Astrocytes,Autistic Disorder,Calcium Channels,Cerebral Cortex,Embryo, Mammalian,Mice, Transgenic,Neuropeptides,Spine,Synapses,rac1 GTP-Binding Protein","Astrocytes control excitatory synaptogenesis by secreting thrombospondins (TSPs), which function via their neuronal receptor, the calcium channel subunit α2δ-1. α2δ-1 is a drug target for epilepsy and neuropathic pain; thus the TSP-α2δ-1 interaction is implicated in both synaptic development and disease pathogenesis. However, the mechanism by which this interaction promotes synaptogenesis and the requirement for α2δ-1 for connectivity of the developing mammalian brain are unknown. In this study, we show that global or cell-specific loss of α2δ-1 yields profound deficits in excitatory synapse numbers, ultrastructure, and activity and severely stunts spinogenesis in the mouse cortex. Postsynaptic but not presynaptic α2δ-1 is required and sufficient for TSP-induced synaptogenesis in vitro and spine formation in vivo, but an α2δ-1 mutant linked to autism cannot rescue these synaptogenesis defects. Finally, we reveal that TSP-α2δ-1 interactions control synaptogenesis postsynaptically via Rac1, suggesting potential molecular mechanisms that underlie both synaptic development and pathology.",2018-07-27,Journal Article,30054448
Resveratrol Enhances Neurite Outgrowth and Synaptogenesis Via Sonic Hedgehog Signaling Following Oxygen-Glucose Deprivation/Reoxygenation Injury.,"Animals,Antioxidants,Cell Survival,Cells, Cultured,Female,Glucose,Hedgehog Proteins,Neurogenesis,Neuronal Outgrowth,Neurons,Neuroprotective Agents,Oxygen,Rats, Sprague-Dawley,Resveratrol,Signal Transduction,Stilbenes","Neurite outgrowth and synaptogenesis are critical steps for functional recovery after stroke. Resveratrol promotes neurite outgrowth and synaptogenesis, but the underlying mechanism is not well understood, although the Sonic hedgehog (Shh) signaling pathway may be involved. Given that resveratrol activates sirtuin (Sirt)1, the present study examined whether this is mediated by Shh signaling.",2017-09-28,Journal Article,28957797
